year,month,day,sum_sale_dollars
2013,7,31,1293367.38
2013,8,1,1008882.97
2013,8,2,399.18
2013,8,5,1567227.63
2013,8,6,1082242.13
2013,8,7,1320990.47
2013,8,8,1111816.12
2013,8,12,1492418.04
2013,8,13,1107802.08
2013,8,14,1245167.75
2013,8,15,1042621.91
2013,8,16,18157.21
2013,8,19,1492890.42
2013,8,20,1012086.61
2013,8,21,1292550.53
2013,8,22,1061597.47
2013,8,26,1690067.38
2013,8,27,1029494.62
2013,8,28,1550064.41
2013,8,29,1415632.71
2013,8,30,10709.99
2013,9,3,1466300.91
2013,9,4,1072614.56
2013,9,5,1395236.12
2013,9,6,847396.54
2013,9,9,1450973.59
2013,9,10,837108.16
2013,9,11,1143729.95
2013,9,12,979188.02
2013,9,16,1295257.00
2013,9,17,925406.51
2013,9,18,1140703.91
2013,9,19,947288.71
2013,9,20,3135.74
2013,9,23,1282532.26
2013,9,24,838238.06
2013,9,25,1168762.08
2013,9,26,933662.38
2013,9,30,1399158.32
2013,10,1,1093396.81
2013,10,2,1780246.24
2013,10,3,1537076.21
2013,10,4,3516318.05
2013,10,7,1888585.04
2013,10,8,893795.23
2013,10,9,1276530.35
2013,10,10,1320976.65
2013,10,11,3278998.01
2013,10,14,1901715.60
2013,10,15,1191654.66
2013,10,16,1614926.40
2013,10,17,1113172.51
2013,10,21,1426510.41
2013,10,22,1006044.18
2013,10,23,1386542.78
2013,10,24,1103631.44
2013,10,25,9224.09
2013,10,28,1425526.53
2013,10,29,955399.20
2013,10,30,1255024.01
2013,10,31,1170517.04
2013,11,1,4915.57
2013,11,4,1337658.97
2013,11,5,798777.67
2013,11,6,1124708.07
2013,11,7,1070998.31
2013,11,8,17593.88
2013,11,11,1331748.73
2013,11,12,878396.92
2013,11,13,1429341.34
2013,11,14,1006630.57
2013,11,15,5193.57
2013,11,18,1525358.43
2013,11,19,1008896.70
2013,11,20,1290716.04
2013,11,21,1158050.39
2013,11,22,933165.08
2013,11,23,671281.88
2013,11,25,1055312.55
2013,11,26,1078751.86
2013,11,27,73453.11
2013,12,2,1812807.62
2013,12,3,1197114.67
2013,12,4,1642175.09
2013,12,5,1331116.44
2013,12,6,18231.14
2013,12,9,1628951.79
2013,12,10,1082894.71
2013,12,11,1416655.21
2013,12,12,1273261.78
2013,12,13,31238.44
2013,12,16,1683128.37
2013,12,17,1170023.36
2013,12,18,1586955.54
2013,12,19,1447200.96
2013,12,20,1259531.10
2013,12,21,777239.54
2013,12,23,1205479.13
2013,12,24,62568.47
2013,12,26,1345888.36
2013,12,27,1750579.66
2013,12,28,989463.18
2013,12,30,1407311.40
2013,12,31,95071.01
2014,1,2,881751.74
2014,1,6,1721282.47
2014,1,7,970398.82
2014,1,8,1461004.37
2014,1,9,1029326.75
2014,1,13,1220346.39
2014,1,14,823538.24
2014,1,15,1124422.46
2014,1,16,884646.41
2014,1,17,1971.24
2014,1,20,1295526.37
2014,1,21,821258.19
2014,1,22,1237132.75
2014,1,23,1018463.38
2014,1,27,1779446.13
2014,1,28,1091828.22
2014,1,29,1604100.01
2014,1,30,1070225.03
2014,1,31,9263.65
2014,2,3,1454699.28
2014,2,4,899936.51
2014,2,5,1378061.58
2014,2,6,1180867.58
2014,2,10,1749517.86
2014,2,11,910802.05
2014,2,12,1379417.01
2014,2,13,1204226.73
2014,2,17,1291362.40
2014,2,18,788110.64
2014,2,19,1155362.93
2014,2,20,1051512.38
2014,2,24,1553721.49
2014,2,25,860931.56
2014,2,26,1236498.56
2014,2,27,1088253.70
2014,3,3,1500462.08
2014,3,4,832117.73
2014,3,5,1332013.04
2014,3,6,1114789.88
2014,3,10,1637018.56
2014,3,11,911751.15
2014,3,12,1240523.66
2014,3,13,1001529.95
2014,3,14,19053.32
2014,3,17,1434002.54
2014,3,18,894632.65
2014,3,19,1126451.71
2014,3,20,935542.88
2014,3,24,1220350.69
2014,3,25,741711.15
2014,3,26,1047010.13
2014,3,27,865290.40
2014,3,31,1474654.59
2014,4,1,887244.41
2014,4,2,1400016.76
2014,4,3,1187599.10
2014,4,7,1797363.11
2014,4,8,1111934.57
2014,4,9,1571501.76
2014,4,10,1195609.15
2014,4,11,6146.48
2014,4,14,1584983.18
2014,4,15,892758.29
2014,4,16,1146830.97
2014,4,17,1185649.54
2014,4,21,1326110.50
2014,4,22,882152.23
2014,4,23,1189573.35
2014,4,24,1178021.49
2014,4,28,1763305.26
2014,4,29,1013147.52
2014,4,30,1319224.63
2014,5,1,1071942.35
2014,5,2,1039.33
2014,5,5,1605358.41
2014,5,6,1146177.55
2014,5,7,1325206.21
2014,5,8,1145024.47
2014,5,12,1568025.02
2014,5,13,986231.55
2014,5,14,1239645.32
2014,5,15,1048305.76
2014,5,19,1438630.03
2014,5,20,1047702.86
2014,5,21,1364158.48
2014,5,22,1091103.63
2014,5,23,1247358.51
2014,5,27,966384.18
2014,5,28,1426368.98
2014,5,29,1247601.56
2014,6,2,1732907.22
2014,6,3,996538.27
2014,6,4,1339763.74
2014,6,5,1066511.76
2014,6,9,1923382.30
2014,6,10,1216208.16
2014,6,11,1459411.95
2014,6,12,1106400.87
2014,6,16,1428920.61
2014,6,17,1024190.95
2014,6,18,1271342.84
2014,6,19,1022515.63
2014,6,23,2086506.22
2014,6,24,1200342.92
2014,6,25,1515237.20
2014,6,26,1480715.28
2014,6,27,1522537.17
2014,6,30,1036244.88
2014,7,1,1254454.11
2014,7,2,1120640.66
2014,7,3,50469.21
2014,7,7,1648113.71
2014,7,8,1135393.17
2014,7,9,1374098.61
2014,7,10,1078264.73
2014,7,14,1571238.17
2014,7,15,1018736.81
2014,7,16,1330835.61
2014,7,17,979511.07
2014,7,21,1487584.06
2014,7,22,912319.13
2014,7,23,1203203.78
2014,7,24,1065008.72
2014,7,28,1410934.57
2014,7,29,957703.77
2014,7,30,1317533.80
2014,7,31,1031309.05
2014,8,4,1586785.80
2014,8,5,1023547.00
2014,8,6,1493655.87
2014,8,7,1196250.38
2014,8,11,1648014.77
2014,8,12,967576.92
2014,8,13,1260415.05
2014,8,14,972750.12
2014,8,18,1193232.68
2014,8,19,971950.91
2014,8,20,1418669.48
2014,8,21,1003525.62
2014,8,25,1520525.53
2014,8,26,1130380.89
2014,8,27,1705128.57
2014,8,28,1074317.39
2014,8,29,1004160.10
2014,9,2,1117338.51
2014,9,3,1829502.60
2014,9,4,1188700.39
2014,9,8,1971662.48
2014,9,9,1399237.29
2014,9,10,1830797.76
2014,9,11,1065662.18
2014,9,15,1534236.54
2014,9,16,1093168.48
2014,9,17,1541910.34
2014,9,18,997864.70
2014,9,22,1351370.53
2014,9,23,1104710.23
2014,9,24,1313682.75
